iter	Passed	Remaining
567	2550	1940
568	2554	1935
569	2558	1930
570	2563	1925
571	2567	1921
572	2571	1916
573	2575	1911
574	2579	1906
575	2583	1901
576	2587	1897
577	2591	1892
578	2596	1887
579	2601	1883
580	2605	1878
581	2609	1873
582	2613	1869
583	2618	1864
584	2622	1860
585	2626	1855
586	2631	1851
587	2635	1846
588	2639	1841
589	2644	1837
590	2648	1832
591	2653	1828
592	2657	1823
593	2662	1819
594	2666	1814
595	2670	1810
596	2674	1805
597	2679	1801
598	2683	1796
599	2687	1791
600	2691	1786
601	2695	1782
602	2699	1777
603	2703	1772
604	2707	1767
605	2711	1763
606	2716	1758
607	2721	1754
608	2725	1749
609	2729	1745
610	2733	1740
611	2737	1735
612	2742	1731
613	2746	1726
614	2750	1722
615	2754	1717
616	2759	1713
617	2764	1708
618	2768	1703
619	2772	1699
620	2777	1694
621	2781	1690
622	2785	1685
623	2789	1680
624	2793	1676
625	2797	1671
626	2802	1667
627	2806	1662
628	2810	1657
629	2814	1653
630	2818	1648
631	2823	1644
632	2828	1639
633	2832	1635
634	2836	1630
635	2841	1626
636	2845	1621
637	2850	1617
638	2854	1612
639	2858	1608
640	2863	1603
641	2867	1598
642	2872	1594
643	2876	1590
644	2880	1585
645	2885	1581
646	2889	1576
647	2894	1572
648	2898	1567
649	2902	1562
650	2906	1558
651	2910	1553
652	2914	1548
653	2919	1544
654	2923	1540
655	2928	1535
656	2932	1531
657	2938	1527
658	2942	1522
659	2946	1518
660	2951	1513
661	2955	1509
662	2960	1504
663	2964	1499
664	2968	1495
665	2972	1490
666	2976	1486
667	2980	1481
668	2986	1477
669	2990	1472
670	2994	1468
671	2998	1463
672	3003	1459
673	3007	1454
674	3011	1449
675	3015	1445
676	3020	1441
677	3024	1436
678	3028	1431
679	3033	1427
680	3037	1422
681	3041	1418
682	3045	1413
683	3050	1409
684	3054	1404
685	3058	1400
686	3062	1395
687	3067	1391
688	3071	1386
689	3075	1381
690	3079	1377
691	3084	1373
692	3088	1368
693	3092	1363
694	3097	1359
695	3101	1354
696	3105	1350
697	3109	1345
698	3114	1341
699	3118	1336
700	3122	1331
701	3126	1327
702	3132	1323
703	3137	1319
704	3141	1314
705	3146	1310
706	3150	1305
707	3154	1301
708	3159	1296
709	3163	1292
710	3168	1287
711	3172	1283
712	3176	1278
713	3181	1274
714	3185	1269
715	3189	1265
716	3193	1260
717	3198	1256
718	3202	1251
719	3206	1247
720	3210	1242
721	3215	1238
722	3219	1233
723	3223	1228
724	3228	1224
725	3232	1220
726	3236	1215
727	3240	1210
728	3245	1206
729	3250	1202
730	3254	1197
731	3259	1193
732	3264	1189
733	3268	1184
734	3272	1179
735	3277	1175
736	3281	1171
737	3286	1166
738	3290	1162
739	3294	1157
740	3299	1153
741	3303	1148
742	3307	1143
743	3311	1139
744	3315	1134
745	3319	1130
746	3323	1125
747	3327	1121
748	3332	1116
749	3336	1112
750	3340	1107
751	3344	1103
752	3348	1098
753	3353	1093
754	3358	1089
755	3363	1085
756	3367	1081
757	3372	1076
758	3377	1072
759	3381	1067
760	3386	1063
761	3391	1059
762	3395	1054
763	3399	1050
764	3403	1045
765	3409	1041
766	3413	1037
767	3418	1032
768	3423	1028
769	3427	1023
770	3431	1019
771	3435	1014
772	3440	1010
773	3444	1005
774	3448	1001
775	3453	996
776	3458	992
777	3462	987
778	3466	983
779	3472	979
780	3476	974
781	3480	970
782	3485	965
783	3489	961
784	3494	956
785	3498	952
786	3502	948
787	3507	943
788	3511	938
789	3515	934
790	3521	930
791	3525	925
792	3529	921
793	3533	916
794	3538	912
795	3542	907
796	3546	903
797	3550	898
798	3554	894
799	3559	889
800	3563	885
801	3568	881
802	3573	876
803	3577	872
804	3581	867
805	3586	863
806	3590	858
807	3594	854
808	3598	849
809	3603	845
810	3607	840
811	3611	836
812	3616	831
813	3620	827
814	3624	822
815	3628	818
816	3633	813
817	3637	809
818	3641	804
819	3645	800
820	3650	795
821	3654	791
822	3659	786
823	3663	782
824	3668	778
825	3672	773
826	3676	769
827	3681	764
828	3685	760
829	3690	755
830	3694	751
831	3699	747
832	3704	742
833	3708	738
834	3712	733
835	3716	729
836	3720	724
837	3724	720
838	3729	715
839	3734	711
840	3738	706
841	3742	702
842	3746	697
843	3751	693
844	3755	688
845	3759	684
846	3764	679
847	3768	675
848	3772	670
849	3776	666
850	3781	662
851	3785	657
852	3789	653
853	3793	648
854	3798	644
855	3802	639
856	3806	635
857	3811	630
858	3815	626
859	3819	621
860	3823	617
861	3828	612
862	3832	608
863	3836	603
864	3841	599
865	3845	595
866	3849	590
867	3853	586
868	3858	581
869	3862	577
870	3866	572
871	3870	568
872	3875	563
873	3879	559
874	3883	554
875	3887	550
876	3892	545
877	3897	541
878	3902	537
879	3906	532
880	3911	528
881	3915	523
882	3919	519
883	3924	514
884	3928	510
885	3932	505
886	3936	501
887	3941	497
888	3945	492
889	3949	488
890	3953	483
891	3958	479
892	3962	474
893	3966	470
894	3970	465
895	3976	461
896	3980	457
897	3984	452
898	3989	448
899	3993	443
900	3997	439
901	4001	434
902	4006	430
903	4010	425
904	4013	421
905	4018	416
906	4022	412
907	4027	408
908	4031	403
909	4035	399
910	4040	394
911	4044	390
912	4048	385
913	4053	381
914	4058	377
915	4062	372
916	4067	368
917	4072	363
918	4076	359
919	4080	354
920	4084	350
921	4089	345
922	4093	341
923	4097	337
924	4102	332
925	4106	328
926	4110	323
927	4114	319
928	4119	314
929	4123	310
930	4127	305
931	4132	301
932	4136	297
933	4140	292
934	4144	288
935	4149	283
936	4154	279
937	4158	274
938	4162	270
939	4166	265
940	4171	261
941	4175	257
942	4179	252
943	4184	248
944	4188	243
945	4192	239
946	4196	234
947	4201	230
948	4205	226
949	4209	221
950	4213	217
951	4218	212
952	4222	208
953	4226	203
954	4230	199
955	4235	194
956	4239	190
957	4243	186
958	4248	181
959	4252	177
960	4256	172
961	4260	168
962	4265	163
963	4269	159
964	4273	155
965	4277	150
966	4283	146
967	4287	141
968	4292	137
969	4297	132
970	4301	128
971	4305	124
972	4308	119
973	4313	115
974	4317	110
975	4321	106
976	4326	101
977	4330	97
978	4334	92
979	4338	88
980	4342	84
981	4347	79
982	4351	75
983	4355	70
984	4359	66
985	4364	61
986	4368	57
987	4372	53
988	4377	48
989	4381	44
990	4386	39
991	4390	35
992	4395	30
993	4399	26
994	4404	22
995	4408	17
996	4413	13
997	4417	8
998	4421	4
999	4426	0
